"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-25","94.9","-3.6597","5.0894","Max Scherzer",621573,453286,"null","foul",,,,,"6","null","R","R","R","WSH","MIA","S","null","null",1,0,2018,"-0.9110","1.3622","0.4027","2.6586","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010158","12.6870","-137.7095","-3.7370","-14.4376","30.1799","-14.1290","3.4110","1.5650","219","76.0","44.8139","95.0360","2498","6.4930",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.0070","null","null","null","null","null","null","null",52,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","95.6","-3.6877","5.0626","Max Scherzer",621573,453286,"null","ball",,,,,"1","null","R","R","R","WSH","MIA","B","null","null",0,0,2018,"-0.7127","1.2738","-0.3052","3.2041","null","null","null",1,7,"Top","null","null",,,446308,,"180926_010136","10.4479","-138.8507","-2.1100","-11.4162","29.9009","-15.5546","3.1316","1.5146","null","null","null","95.2620","2571","6.1120",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3874","null","null","null","null","null","null","null",52,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","96.5","-3.6602","5.0840","Max Scherzer",621446,453286,"strikeout","foul_tip",,,,,"4","Lewis Brinson strikes out on a foul tip.  ","R","R","R","WSH","MIA","S",2,"null",1,2,2018,"-0.9270","1.3031","-0.3268","2.8516","null","null","null",0,7,"Top","null","null",,,446308,,"180926_010058","10.9743","-140.2003","-3.3276","-14.6796","31.0450","-14.4268","3.4900","1.6010","null","null","null","96.5710","2592","6.3710",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.1285","null","null","0.00",1,0,0,"null",51,"4","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","85.5","-3.7135","5.1621","Max Scherzer",621446,453286,"null","called_strike",,,,,"1","null","R","R","R","WSH","MIA","S","null","null",1,1,2018,"0.4144","-0.2277","-0.4278","3.3338","null","null","null",0,7,"Top","null","null",,,446308,,"180926_010036","6.8893","-124.2533","2.4229","2.9199","24.3714","-35.2157","3.7934","1.9197","null","null","null","85.2720","2604","6.1670",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3328","null","null","null","null","null","null","null",51,"3","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","84.0","-3.7134","5.1062","Max Scherzer",621446,453286,"null","ball",,,,,"14","null","R","R","R","WSH","MIA","B","null","null",0,1,2018,"0.1948","-0.1393","1.5761","0.1408","null","null","null",0,7,"Top","null","null",,,446308,,"180926_010014","11.7359","-121.7763","-4.7717","-0.2474","22.4478","-32.8877","3.7934","1.8618","null","null","null","83.2940","2471","5.8920",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.6073","null","null","null","null","null","null","null",51,"2","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","94.9","-3.6386","5.1939","Max Scherzer",621446,453286,"null","swinging_strike",,,,,"1","null","R","R","R","WSH","MIA","S","null","null",0,0,2018,"-0.7995","1.1839","-0.6656","3.4103","null","null","null",0,7,"Top","null","null",,,446308,,"180926_005955","9.5143","-137.9540","-1.6451","-12.1734","28.9127","-16.9681","3.4900","1.6010","null","null","null","94.7890","2419","6.1510",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3482","null","null","null","null","null","null","null",51,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","85.9","-3.5436","5.1877","Max Scherzer",605119,453286,"field_out","hit_into_play",,,,,"6","Brian Anderson pops out to second baseman Wilmer Difo.  ","R","R","R","WSH","MIA","X",4,"popup",0,2,2018,"0.4648","0.1117","0.6575","2.2661","null","null","598284.00",2,6,"Top","158.24","148.00",,,446308,,"180926_004745","8.9787","-124.9026","-0.9185","3.1681","23.3829","-31.0474","3.4900","1.6010","147","79.0","63.5430","85.8040","null","6.1120",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3877","0.005","0.000","0.00",1,0,0,3,47,"3","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","94.8","-3.7855","4.8709","Max Scherzer",605119,453286,"null","foul_tip",,,,,"5","null","R","R","R","WSH","MIA","S","null","null",0,1,2018,"-0.8032","1.1388","0.2110","2.3298","null","null","598284.00",2,6,"Top","null","null",,,446308,,"180926_004705","12.1601","-137.5847","-3.4759","-12.7371","29.0876","-17.2384","3.4900","1.6010","null","null","null","94.5090","2486","6.1600",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.3400","null","null","null","null","null","null","null",47,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","94.1","-3.5488","5.1167","Max Scherzer",605119,453286,"null","called_strike",,,,,"9","null","R","R","R","WSH","MIA","S","null","null",0,0,2018,"-0.9661","1.2350","0.6347","2.1680","null","null","598284.00",2,6,"Top","null","null",,,446308,,"180926_004631","12.8583","-136.2975","-4.5745","-14.6918","29.0363","-16.1411","3.5635","1.6594","null","null","null","93.4260","2456","6.0790",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4206","null","null","null","null","null","null","null",47,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","85.9","-3.6058","5.1308","Max Scherzer",598284,453286,"single","hit_into_play_no_out",,,,,"5","Peter O'Brien singles on a ground ball to third baseman Anthony Rendon.  ","R","R","R","WSH","MIA","X","null","ground_ball",3,2,2018,"0.4472","-0.1415","-0.2692","2.5497","null","null","null",2,6,"Top","94.58","167.46",,,446308,,"180926_004537","6.9619","-124.9812","0.3957","3.2821","24.2223","-33.9431","3.5490","1.6270","37","97.4","-1.8960","85.4730","2337","5.9340",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.5651","0.371","0.344","0.90",1,1,0,2,46,"7","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"CH","2018-09-25","84.5","-3.6024","5.1559","Max Scherzer",598284,453286,"null","ball",,,,,"13","null","R","R","R","WSH","MIA","B","null","null",2,2,2018,"-1.3795","-0.0053","-0.4950","0.5367","null","null","null",2,6,"Top","null","null",,,446308,,"180926_004507","10.0853","-122.7436","-4.4053","-16.0961","23.7716","-31.5662","3.5059","1.7751","null","null","null","85.0860","1279","6.7180",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"53.7816","null","null","null","null","null","null","null",46,"6","Changeup",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","95.4","-3.6848","4.9687","Max Scherzer",598284,453286,"null","foul",,,,,"4","null","R","R","R","WSH","MIA","S","null","null",2,2,2018,"-0.5556","0.8972","-0.5845","2.9104","null","null","null",2,6,"Top","null","null",,,446308,,"180926_004418","9.4151","-138.6829","-1.8260","-9.1855","28.9748","-20.3347","3.5490","1.6270","null","null","null","95.7700","2299","6.4110",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.0890","null","null","null","null","null","null","null",46,"5","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","84.2","-3.7224","5.1300","Max Scherzer",598284,453286,"null","ball",,,,,"13","null","R","R","R","WSH","MIA","B","null","null",1,2,2018,"0.5467","-0.3363","-0.5361","1.3455","null","null","null",2,6,"Top","null","null",,,446308,,"180926_004354","6.2788","-122.4106","-1.7497","4.2371","23.2317","-35.4097","3.5490","1.7462","null","null","null","83.6940","null","5.9210",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.5790","null","null","null","null","null","null","null",46,"4","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"SL","2018-09-25","85.4","-3.6318","5.1303","Max Scherzer",598284,453286,"null","ball",,,,,"14","null","R","R","R","WSH","MIA","B","null","null",0,2,2018,"0.3323","-0.0353","1.2466","0.2833","null","null","null",2,6,"Top","null","null",,,446308,,"180926_004330","10.7431","-123.8385","-4.9994","1.3553","23.5647","-31.8007","3.4772","1.6270","null","null","null","84.9560","2404","6.0880",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4117","null","null","null","null","null","null","null",46,"3","Slider",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2018-09-25","93.8","-3.5939","5.1702","Max Scherzer",598284,453286,"null","swinging_strike",,,,,"6","null","R","R","R","WSH","MIA","S","null","null",0,1,2018,"-0.8583","1.1297","0.3378","2.7296","null","null","null",2,6,"Top","null","null",,,446308,,"180926_004303","11.9577","-136.1179","-3.0431","-13.0461","27.5542","-17.7831","3.5490","1.6270","null","null","null","93.4720","2431","6.0740",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.4256","null","null","null","null","null","null","null",46,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"CU","2018-09-25","73.4","-3.2015","5.6985","Max Scherzer",598284,453286,"null","foul",,,,,"4","null","R","R","R","WSH","MIA","S","null","null",0,0,2018,"0.8633","-0.7410","-0.3039","2.7721","null","null","null",2,6,"Top","null","null",,,446308,,"180926_004239","4.3558","-106.7072","2.6105","5.7500","17.8451","-38.4082","3.5490","1.6270","null","null","null","72.7440","2411","5.7810",531762,453286,446308,475582,594694,543685,607208,665742,547180,594809,"54.7187","null","null","null","null","null","null","null",46,"1","Curveball",3,1,1,3,1,3,1,3,"Standard","Standard"
