"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-28","94.2","-1.9535","5.9211","Mike Foltynewicz",664068,592314,"null","swinging_strike",,,,,"2","null","R","R","R","PHI","ATL","S","null","null",3,1,2018,"-0.8740","1.3988","-0.2188","3.5722","null","null","null",0,5,"Bot","null","null",,,452095,,"180929_004623","6.4913","-137.0735","-3.5321","-12.5356","30.7284","-13.8551","3.5698","1.6239","null","null","null","94.5960","2200","6.5570",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.9461","null","null","null","null","null","null","null",39,"5","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard"
"CH","2018-09-28","86.1","-2.0130","5.7382","Mike Foltynewicz",664068,592314,"null","ball",,,,,"11","null","R","R","R","PHI","ATL","B","null","null",2,1,2018,"-1.3200","0.9538","-1.2535","3.5123","null","null","null",0,5,"Bot","null","null",,,452095,,"180929_004602","4.4685","-125.3870","-0.9858","-14.7728","25.1234","-22.1668","3.5698","1.6239","null","null","null","86.1280","1819","6.2470",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.2558","null","null","null","null","null","null","null",39,"4","Changeup",1,4,1,4,4,1,1,4,"Standard","Standard"
"FF","2018-09-28","94.5","-2.2276","5.7645","Mike Foltynewicz",664068,592314,"null","foul",,,,,"13","null","R","R","R","PHI","ATL","S","null","null",2,0,2018,"-1.1131","1.2550","-1.3184","2.5555","null","null","null",0,5,"Bot","null","null",,,452095,,"180929_004527","4.8730","-137.4996","-5.4553","-15.2468","32.7272","-15.2175","3.5698","1.6239","null","null","null","94.4840","2382","6.4550",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.0479","null","null","null","null","null","null","null",39,"3","4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard"
"SL","2018-09-28","85.1","-2.3614","5.5592","Mike Foltynewicz",664068,592314,"null","ball",,,,,"12","null","R","R","R","PHI","ATL","B","null","null",1,0,2018,"0.3093","0.3916","1.2338","3.2814","null","null","null",0,5,"Bot","null","null",,,452095,,"180929_004505","7.7478","-123.7118","0.1723","1.6690","23.3207","-28.4738","3.5698","1.6239","null","null","null","84.4720","2533","5.8130",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.6894","null","null","null","null","null","null","null",39,"2","Slider",1,4,1,4,4,1,1,4,"Standard","Standard"
"SL","2018-09-28","84.9","-2.4214","5.5030","Mike Foltynewicz",664068,592314,"null","ball",,,,,"14","null","R","R","R","PHI","ATL","B","null","null",0,0,2018,"0.4768","0.2714","1.8693","2.1952","null","null","null",0,5,"Bot","null","null",,,452095,,"180929_004446","9.0432","-123.3248","-1.9499","3.1286","23.2578","-29.2718","3.5698","1.6239","null","null","null","84.5790","2512","6.0650",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.4379","null","null","null","null","null","null","null",39,"1","Slider",1,4,1,4,4,1,1,4,"Standard","Standard"
"FT","2018-09-28","95.5","-2.2222","5.5440","Mike Foltynewicz",467793,592314,"field_out","hit_into_play",,,,,"8","Carlos Santana grounds out to first baseman Freddie Freeman.  ","R","L","R","PHI","ATL","X",3,"ground_ball",1,0,2018,"-1.4982","0.7286","-0.2479","1.9011","null","546318.00","null",2,4,"Bot","157.14","165.35",,,452095,,"180929_002805","8.6251","-138.7530","-5.6242","-21.4130","30.6226","-21.6459","3.5698","1.6239","6","71.0","-19.1080","95.8790","2127","6.5650",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.9380","0.037","0.039","0.00",1,0,0,2,34,"2","2-Seam Fastball",1,4,1,4,4,1,1,4,"Infield shift","Standard"
"FF","2018-09-28","96.8","-2.2693","5.7955","Mike Foltynewicz",467793,592314,"null","ball",,,,,"8","null","R","L","R","PHI","ATL","B","null","null",0,0,2018,"-0.8646","1.2248","0.0779","1.5153","null","546318.00","null",2,4,"Bot","null","null",,,452095,,"180929_002743","8.1890","-140.5595","-8.6012","-13.2272","31.1240","-14.3177","3.5708","1.6252","null","null","null","96.5130","2143","6.1940",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.3087","null","null","null","null","null","null","null",34,"1","4-Seam Fastball",1,4,1,4,4,1,1,4,"Infield shift","Standard"
"SL","2018-09-28","86.1","-2.4950","5.4262","Mike Foltynewicz",656555,592314,"field_out","hit_into_play",,,,,"6","Rhys Hoskins grounds out, shortstop Charlie Culberson to first baseman Freddie Freeman.  ","R","R","R","PHI","ATL","X",6,"ground_ball",0,1,2018,"0.5589","0.2774","0.3508","2.6647","null","546318.00","null",1,4,"Bot","108.38","151.13",,,452095,,"180929_002659","5.5878","-125.1700","-0.8032","4.5182","27.3325","-29.4106","3.5698","1.6239","34","101.4","-1.8850","85.0560","2369","5.8530",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.6498","0.395","0.348","0.00",1,0,0,2,33,"2","Slider",1,4,1,4,4,1,1,4,"Standard","Standard"
"SL","2018-09-28","85.3","-2.7044","5.4998","Mike Foltynewicz",656555,592314,"null","called_strike",,,,,"5","null","R","R","R","PHI","ATL","S","null","null",0,0,2018,"0.6755","0.0523","-0.2159","2.5788","null","546318.00","null",1,4,"Bot","null","null",,,452095,,"180929_002631","4.4812","-124.0906","-0.6449","5.9161","25.8320","-31.7564","3.5698","1.6239","null","null","null","84.5420","2468","5.9040",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"54.5988","null","null","null","null","null","null","null",33,"1","Slider",1,4,1,4,4,1,1,4,"Standard","Standard"
"CH","2018-09-28","86.9","-1.9693","5.6355","Mike Foltynewicz",546318,592314,"double","hit_into_play_score",,,,,"8","Odubel Herrera doubles (19) on a line drive to center fielder Ender Inciarte.   Cesar Hernandez scores.  ","R","L","R","PHI","ATL","X","null","line_drive",2,2,2018,"-1.1125","1.0792","-0.0567","1.9930","null","null","514917.00",1,4,"Bot","155.40","42.26",,,452095,,"180929_002542","6.9201","-126.4143","-4.8073","-13.4320","25.2091","-19.7204","3.5698","1.6239","376","97.6","21.3360","87.4580","1735","6.6130",531794,592314,452095,518692,645277,622666,518586,660670,542255,455976,"53.8900","0.342","0.471","1.25",1,1,1,5,32,"5","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
