"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-09-29","91.4","1.3687","6.1376","Clayton Kershaw",623214,477132,"single","hit_into_play_no_out",,,,,"8","Abiatal Avelino singles on a line drive to left fielder Joc Pederson.  ","R","R","L","SF","LAD","X","null","line_drive",2,0,2018,"0.0181","1.5481","-0.1977","1.8913","null","null","null",1,5,"Bot","55.79","119.48",,,518735,,"180929_214652","-4.0062","-133.0504","-8.2680","1.0015","26.0336","-12.1148","3.3190","1.5130","239","89.5","16.0240","92.1860","2349","6.5410",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"53.9564","0.858","0.824","0.90",1,1,0,4,44,"3","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","89.0","1.4246","6.3298","Clayton Kershaw",623214,477132,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",1,0,2018,"-0.2488","1.3409","1.5248","2.1348","null","null","null",1,5,"Bot","null","null",,,518735,,"180929_214632","0.7524","-129.5587","-7.0701","-2.9239","22.4872","-16.0921","3.3100","1.4449","null","null","null","89.0260","2462","5.9070",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.5909","null","null","null","null","null","null","null",44,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","88.9","1.3636","6.2814","Clayton Kershaw",623214,477132,"null","ball",,,,,"13","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"-0.4195","1.2480","-0.8490","1.2185","null","null","null",1,5,"Bot","null","null",,,518735,,"180929_214619","-4.5186","-129.1525","-8.8956","-3.8183","24.0031","-16.8772","3.3967","1.5231","null","null","null","88.5170","2490","5.8980",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.5990","null","null","null","null","null","null","null",44,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"FF","2018-09-29","92.0","1.3874","6.1841","Clayton Kershaw",453923,477132,"field_out","hit_into_play",,,,,"5","Gregor Blanco lines out to center fielder Cody Bellinger.  ","R","L","L","SF","LAD","X",8,"line_drive",1,2,2018,"0.3984","1.6785","0.2151","2.3534","null","null","null",0,5,"Bot","99.93","86.53",,,518735,,"180929_214511","-3.8395","-133.9019","-7.5654","5.5791","26.4452","-10.5683","3.3010","1.5040","275","86.8","19.6800","92.4260","2433","6.3390",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.1579","0.453","0.454","0.00",1,0,0,4,43,"4","4-Seam Fastball",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","85.9","1.6410","6.1885","Clayton Kershaw",453923,477132,"null","swinging_strike",,,,,"13","null","R","L","L","SF","LAD","S","null","null",1,1,2018,"-0.6084","0.6667","-1.0346","1.4018","null","null","null",0,5,"Bot","null","null",,,518735,,"180929_214441","-5.0785","-124.8567","-6.3844","-5.3665","22.6674","-24.3428","3.3010","1.5040","null","null","null","85.3940","2608","5.8040",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.6938","null","null","null","null","null","null","null",43,"3","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","86.9","1.5544","6.3058","Clayton Kershaw",453923,477132,"null","ball",,,,,"13","null","R","L","L","SF","LAD","B","null","null",0,1,2018,"-0.4325","1.0026","-1.5048","1.8993","null","null","null",0,5,"Bot","null","null",,,518735,,"180929_214424","-6.3871","-126.2754","-6.3306","-3.3409","23.9225","-20.6540","3.1402","1.4958","null","null","null","86.1510","2557","5.7290",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.7680","null","null","null","null","null","null","null",43,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","88.2","1.4101","6.2862","Clayton Kershaw",453923,477132,"null","called_strike",,,,,"8","null","R","L","L","SF","LAD","S","null","null",0,0,2018,"-0.2183","1.4701","-0.1827","1.3625","null","null","null",0,5,"Bot","null","null",,,518735,,"180929_214410","-3.3996","-128.1619","-8.8477","-1.7374","24.4622","-14.6352","3.1145","1.3927","null","null","null","87.8160","2602","5.9540",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.5439","null","null","null","null","null","null","null",43,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","87.8","1.3517","6.3160","Clayton Kershaw",491676,477132,"field_out","hit_into_play",,,,,"2","Gorkys Hernandez flies out to left fielder Joc Pederson.  ","R","R","L","SF","LAD","X",7,"fly_ball",1,0,2018,"-0.0526","1.1646","-0.2290","3.2055","null","null","null",2,4,"Bot","59.26","73.29",,,518735,,"180929_213336","-3.7025","-127.8869","-3.8412","0.1133","23.7471","-18.9481","3.4110","1.5650","335","89.0","32.9780","87.8040","2523","6.0140",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.4833","0.058","0.075","0.00",1,0,0,3,38,"2","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","88.8","1.4176","6.2125","Clayton Kershaw",491676,477132,"null","ball",,,,,"9","null","R","R","L","SF","LAD","B","null","null",0,0,2018,"-0.0661","1.3386","0.8278","1.8681","null","null","null",2,4,"Bot","null","null",,,518735,,"180929_213313","-1.3044","-129.2332","-7.4096","-0.4940","24.6004","-15.9438","3.2172","1.4449","null","null","null","89.0050","2582","6.2150",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.2828","null","null","null","null","null","null","null",38,"1","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
"SL","2018-09-29","87.5","1.4447","6.1893","Clayton Kershaw",605244,477132,"strikeout","called_strike",,,,,"3","Aramis Garcia called out on strikes.  ","R","R","L","SF","LAD","S",2,"null",1,2,2018,"-0.0030","0.9566","0.4676","3.1346","null","null","null",1,4,"Bot","null","null",,,518735,,"180929_213241","-2.3432","-127.4108","-3.2191","0.4167","24.4170","-21.3940","3.4579","1.6273","null","null","null","87.4870","2516","6.0910",531814,477132,518735,571970,571771,457759,592518,592626,641355,624577,"54.4060","null","null","0.00",1,0,0,"null",37,"5","Slider",3,5,3,5,5,3,3,5,"Standard","Standard"
